,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2024-11-15 14:00:00+00:00,119.55,7126.0,7.0,2460.0,673.0,2467.0,0.44063991018804377,14,4,11,0,-0.4999999999999998,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,126.04,95.97,122.8,125.52999999999999,14.39075246544492
2024-11-15 15:00:00+00:00,128.7,7128.0,6.0,2434.0,428.0,2440.0,0.40235690235690236,15,4,11,0,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,133.12,112.35,127.74,125.34583333333332,14.317491860950215
2024-11-15 16:00:00+00:00,139.68,7171.0,5.0,2519.0,150.0,2524.0,0.37289081020778136,16,4,11,0,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,136.23,116.28,129.88,125.48958333333333,14.448244207805171
2024-11-15 17:00:00+00:00,138.66,7354.0,6.0,2688.0,5.0,2694.0,0.36701115039434323,17,4,11,0,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,146.26,121.28,133.58,125.17291666666667,14.05104590851365
2024-11-15 18:00:00+00:00,134.05,7615.0,6.0,2855.0,0.0,2861.0,0.3757058437294813,18,4,11,0,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,151.63,132.18,134.28,124.44041666666665,13.033204243864532
2024-11-15 19:00:00+00:00,133.85,7714.0,6.0,2995.0,0.0,3001.0,0.38903292714544985,19,4,11,0,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,140.1,133.61,134.28,124.18,12.766415860100006
2024-11-15 20:00:00+00:00,134.19,7537.0,6.0,3108.0,0.0,3114.0,0.4131617354385034,20,4,11,0,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,129.81,119.8,132.28,124.3625,12.881188592873988
2024-11-15 21:00:00+00:00,126.69,7060.0,6.0,3162.0,0.0,3168.0,0.44872521246458924,21,4,11,0,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,123.28,115.88,127.74,124.50458333333331,12.887534246287961
2024-11-15 22:00:00+00:00,114.08,6492.0,6.0,3153.0,0.0,3159.0,0.4865988909426987,22,4,11,0,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,112.91,100.0,123.76,124.55333333333334,12.843907256873122
2024-11-15 23:00:00+00:00,104.59,5762.0,11.0,3182.0,0.0,3193.0,0.5541478653245401,23,4,11,0,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,111.6,90.2,115.7,124.26125,13.225330212856688
